         328 function calls in 0.002 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\codecs.py:186(__init__)
        9    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
        2    0.000    0.000    0.000    0.000 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\ntpath.py:34(_get_bothseps)
        2    0.000    0.000    0.000    0.000 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\threading.py:1052(name)
        2    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x00007FF8EC436D30}
        4    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\logging\__init__.py:1605(getEffectiveLevel)
        2    0.000    0.000    0.000    0.000 {built-in method time.time}
        1    0.000    0.000    0.000    0.000 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\logging\__init__.py:426(__init__)
        4    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        4    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
        2    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 d:\Documents\2019Spring\RandomAlgorithm\Labs\Lab1\src\data_reader.py:53(get_num_of_sets)
        1    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\logging\__init__.py:910(setFormatter)
        5    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\pathlib.py:912(is_absolute)
        2    0.000    0.000    0.000    0.000 {method 'reverse' of 'list' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\logging\__init__.py:1930(getLogger)
        1    0.000    0.000    0.000    0.000 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\logging\__init__.py:232(_register_at_fork_acquire_release)
        1    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'clear' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}



         713774 function calls in 0.576 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.005    0.005    0.576    0.576 d:\Documents\2019Spring\RandomAlgorithm\Labs\Lab1\src\round_trip.py:28(round_trip)
        1    0.287    0.287    0.564    0.564 d:\Documents\2019Spring\RandomAlgorithm\Labs\Lab1\src\naive.py:9(run)
    79400    0.078    0.000    0.131    0.000 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\logging\__init__.py:1986(info)
        2    0.000    0.000    0.113    0.057 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\logging\__init__.py:1971(warning)
        2    0.000    0.000    0.113    0.057 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\logging\__init__.py:1385(warning)
        2    0.000    0.000    0.113    0.057 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\logging\__init__.py:1496(_log)
        2    0.000    0.000    0.113    0.056 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\logging\__init__.py:1521(handle)
        2    0.000    0.000    0.113    0.056 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\logging\__init__.py:1575(callHandlers)
        2    0.000    0.000    0.113    0.056 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\logging\__init__.py:892(handle)
        2    0.000    0.000    0.113    0.056 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\logging\__init__.py:1123(emit)
        2    0.000    0.000    0.113    0.056 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\logging\__init__.py:1022(emit)
        2    0.000    0.000    0.111    0.055 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\logging\__init__.py:869(format)
        2    0.000    0.000    0.111    0.055 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\logging\__init__.py:606(format)
        2    0.111    0.055    0.111    0.055 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\logging\__init__.py:371(getMessage)
    79400    0.029    0.000    0.045    0.000 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\logging\__init__.py:1373(info)
   393831    0.032    0.000    0.032    0.000 {built-in method builtins.len}
    79402    0.017    0.000    0.017    0.000 C:\Users\Doraeming\AppData\Local\Programs\Python\Python37\lib\logging\__init__.py:1619(isEnabledFor)
    78622    0.009    0.000    0.009    0.000 {method 'append' of 'list' objects}
        1    0.002    0.002    0.006    0.006 d:\Documents\2019Spring\RandomAlgorithm\Labs\Lab1\src\data_reader.py:16(__init__)
